タイプ,問題文,解答,解説
multiple,"国鉄時代,運賃や予算などの決定において,○○の過度の関与や,○○の過大な要求があった。","国会及び政府,地域住民",国会及び政府の過度の関与と地域住民の過大な要求がありました。
single,"国鉄の全国一元管理による巨大な企業規模は,経営において○○を超えていたと表現された。",管理限界,管理限界を超えた巨大な企業規模が問題でした。
single,"国鉄は公共企業体という責任が曖昧な業態であったため,責任感と○○意識を喪失していた。",企業,企業意識と責任感が喪失していました。
single,"国鉄経営悪化の原因の1つとして,職場規律の乱れを招いた不安定な○○関係が挙げられる。",労使,不安定な労使関係による職場規律の乱れがありました。
multiple,"国鉄時代,管理体制の崩壊を招き,○○や○○が横行した。","ヤミ協定,悪慣行",ヤミ協定や悪慣行が横行しました。
single,"国鉄時代,○○が進まなかったことで職員の生産性向上意欲とコスト意識が失われた。",合理化,"合理化が進まず,意欲やコスト意識が低下しました。"
single,"国鉄経営悪化の原因の1つとして挙げられた,収入に対して経費が高すぎるなどの構造をいびつな○○構造という。",財務,いびつな財務構造が経営を圧迫しました。
single,"1981年度の国鉄において,私鉄が40%だったのに対し,営業収入の85%と異常に高い比率を占めていたのは○○である。",人件費,人件費比率が当時の私鉄に比べ異常に高くなっていました。
single,"国鉄において,終戦直後の復員兵大量受け入れなどに起因し,膨大な年金・退職金が必要となった原因を○○構成のひずみという。",年齢,年齢構成のひずみから膨大な年金・退職金が必要になりました。
single,"国鉄末期,累積債務に対して発生し,財務をさらに圧迫した巨額な負担は○○負担である。",利子,巨額な利子負担が債務増大の要因でした。
single,1960年から1985年にかけて国鉄の国内旅客輸送量シェアは○○した。,半減,"国鉄のシェアが半減し,自動車に奪われました。"
single,"1960年から1985年にかけて,国内の自動車の旅客輸送量シェアは○○した。",倍増,自動車のシェアは倍増しました。
single,"1960年から1985年にかけて,国鉄の国内貨物輸送量シェアは○○した。",半減,貨物輸送量シェアも半減しました。
single,"1960年から1985年にかけて,国内の自動車の貨物輸送量シェアは○○した。",激増,自動車の貨物輸送シェアは激増しました。
single,"高度経済成長期の1960年から10年間で,約340万台から1900万台（約6倍）に急激に伸びたのは○○台数である。",自家用車保有,自家用車保有台数が急増しました。
single,1965年に開通した日本初の本格的な高速道路は○○である。,名神高速道路,名神高速道路が開通しました。
single,1970年に開通した高速道路は○○である。,東名高速道路,東名高速道路が誕生しました。
single,1964年に開業した日本初の新幹線は○○である。,東海道新幹線,東海道新幹線が開業しました。
single,"1974年のオイルショック以降の低成長期においても,順調に増加し続けたのは○○台数である。",自動車,自動車台数は順調に増加しました。
single,"1970年代以降,高速道路網の整備とともに急増した空港を○○化空港という。",ジェット,ジェット化空港も急増しました。
single,"自動車や航空機の設備量が伸びていた同時期に開業したものの,十分なシェアを獲得できなかった新幹線は○○である。",山陽新幹線,山陽新幹線が開業しましたがシェアは自動車などに奪われました。
multiple,"国鉄時代,他の交通機関の発展により鉄道の優位性が脅かされたが,シェアを奪った主な交通機関は○○と○○である。","自動車,航空機",自動車や航空機にシェアを奪われました。
single,"国鉄時代,自社の商品価格である運賃や,給与・予算の決定には○○の議決が必要だった。",国会,"自ら決定する権限がなく,国会の議決が必要でした。"
single,"国鉄時代,日本国有鉄道法により出資範囲が限定されていたのは○○関連事業である。",運輸,"運輸関連事業に限定され,駅前開発などができませんでした。"
multiple,"国鉄時代,政治家が選挙に当選するため「我田引鉄」として○○や,需要の見込めない○○の敷設を強引に推進した。","赤字ローカル線,整備新幹線計画",政治的な理由で赤字路線や需要のない新幹線が推進されました。
single,"国鉄末期,「働いても働かなくても同じ」という職員の意識が招いた事象のうち,接客などの質が落ちることを○○の低下という。",サービスレベル,サービスレベルの低下を招きました。
single,"国鉄末期,「働いても働かなくても同じ」という職員の意識が招いた事象のうち,働く意欲が落ちることを○○の低下という。",勤労意欲,勤労意欲が低下しました。
single,"国鉄末期,「働いても働かなくても同じ」という職員の意識が招いた事象のうち,職場の環境や規律が悪化することを職場の○○という。",荒廃,職場の荒廃に繋がりました。
multiple,"労働組合の主たる目的は,○○の維持・改善と,○○の向上を図ることである。","労働条件,経済的地位",労働条件の維持・改善と経済的地位の向上を図る団体です。
single,"労働組合と会社が結ぶ関係を,個人の関係に対して○○的労使関係という。",集団,集団的労使関係を結んでいます。
single,"労働組合と会社が結ぶもので,労働条件などを定めた契約（ルール）を○○という。",労働協約,労働協約によって労働条件を決定します。
single,"社員個々人と会社が結ぶ関係を,組合の関係に対して○○的労使関係という。",個別,個別的労使関係を結んでいます。
single,"社員（組合員）個々人と会社が結ぶ労働契約において,詳細が決められている規則を○○という。",就労規則,就労規則（就業規則）によって詳細が決められます。
single,"労働協約の規範的部分に含まれる労働条件のうち,給与に関するものは○○である。",賃金,賃金などの労働条件が含まれます。
single,"労働協約の規範的部分に含まれる労働条件のうち,働く長さに関する条件は○○である。",労働時間,労働時間が含まれます。
single,"国鉄時代の労働組合のうち,1947年に結成され,民営化に一貫して反対していた組合の略称は○○である。",国労,国鉄労働組合（国労）です。
single,"国鉄時代,職能別要求のため頻繁にストライキを行い「鬼の～」と呼ばれた労働組合の略称は○○である。",動労,国鉄動力車労働組合（動労）です。
single,"国鉄時代の労働組合のうち,最終答申が出た時点で唯一分割民営化に賛成していた組合の略称は○○である。",鉄労,鉄道労働組合（鉄労）です。
single,"国鉄時代,現場長と組合分会長が交渉することで,結果的に現場の管理権を著しく後退させた制度は○○である。",現場協議制,現場協議制（現協）により規律が崩壊しました。
multiple,"国鉄時代,現場協議制（現協）により職場の規律が崩壊し,○○,○○,○○が横行した。","ヤミ協定,ヤミ休暇,ヤミ手当","ヤミ協定,ヤミ休暇,ヤミ手当が横行しました。"
single,"国鉄の経営危機に際し,生産コスト引き下げ等を目指して導入された「生産性向上運動」は,通称○○運動と呼ばれた。",マル生,「生」を丸で囲んだスタンプからマル生運動と呼ばれました。
single,"国鉄時代,ストライキが禁止されていたため,確認動作等をわざとゆっくり行いダイヤを混乱させた戦術を○○という。",順法闘争,ストライキの代わりに順法闘争が編み出されました。
single,"国鉄時代に存在した,三公社五現業における労働関係を規制する法律の略称は○○である。",公労法,公労法によりストライキが禁止されていました。
single,"1975年,公労法によるストライキ禁止に反対し,国労・動労が権利奪還のために8日間実施した違法ストの略称は○○である。",スト権スト,ストライキ権奪還ストライキ（スト権スト）が実施されました。
single,"1982年度の国鉄財務において,損失や借金が膨れ上がり,負債が資産を上回る状態を○○という。",債務超過,債務超過に陥っていました。
single,"1982年度の国鉄の純損益は,○○兆円という巨額な損失だった。",1.4,1.4兆円という巨額の損失でした。
single,"1982年度の国鉄財務において,単年度の借金で賄っていたもののうち,赤字を埋め合わせることを○○の補填という。",赤字,赤字を借金で補填していました。
single,"1982年度の国鉄財務において,巨額の赤字にも関わらず,借金で過大に行い続けていた投資は○○である。",設備投資,過大な設備投資を行っていました。
single,"1982年度の国鉄財務において,これまでの借金を返すためにさらに借金をすることを○○の返済という。",借金,借金の返済も借金で行う自転車操業でした。
single,"1982年における国鉄の長期債務残高（約18兆円）を,当時の国民一人当たりに換算すると約○○万円だった。",615,国民一人当たり約615万円の借金でした。
single,"国鉄の財務において,大量の職員を抱えていたことにより,純損失発生の大きな要因となった膨大な経費は○○である。",人件費,膨大な人件費が経営を圧迫しました。
single,"国鉄の財務において,累積債務が膨らんだことにより,その支払い自体がさらに経営を圧迫することになったのは○○負担である。",利子,利子負担が増加する悪循環でした。
single,"国鉄の経営悪化の要因の1つとして,○○に国鉄が十分対応できなかったことが挙げられる。",急激な輸送需要の変化,急激なモータリゼーションなどの輸送需要の変化に対応できませんでした。
single,"国鉄の経営悪化の要因の1つとして,○○の欠如による親方日の丸的な経営姿勢であったことが挙げられる。",当事者能力,当事者能力の欠如が無責任な経営姿勢を招きました。
single,"国鉄の経営悪化の要因の1つとして,当事者能力の欠如による○○的な経営姿勢であったことが挙げられる。",親方日の丸,国や政府に依存した「親方日の丸」的な経営姿勢が問題視されました。
single,"国鉄の経営悪化の要因の1つとして,不安定な○○による職場規律の乱れがあったことが挙げられる。",労使関係,労使間の対立やヤミ協定などが職場規律を崩壊させました。
single,"国鉄の経営悪化の要因の1つとして,収入に対して経費が高すぎるなどのいびつな○○であったことが挙げられる。",財務構造,巨額の利子負担や人件費によるいびつな財務構造が経営を圧迫しました。
single,"1981年3月に発足され,分割民営化の基本方針を示した機関は○○である。",第二次臨時行政調査会,第二次臨時行政調査会が国鉄改革のテーマを審議しました。
single,"1982年7月に第二次臨時行政調査会が出した,分割民営化の基本方針を示した答申の正式名称は○○である。",第二次臨時行政調査会第三次答申,この答申により政府が分割民営化へと動き出しました。
single,"第二次臨時行政調査会第三次答申は,漢字4文字で略して○○と呼ばれる。",基本答申,基本答申では国鉄を5年以内に分割民営化することなどが示されました。
multiple,"基本答申に対し,当時分割民営化の賛成派であった政党は○○党と○○党である。","自民,社民","当時の与党である自民党と,野党の社民党が賛成派でした。"
single,"賛成派の自民党の中で,国鉄再建小委員会委員長に就任して国鉄改革に大きな役割を果たした人物は○○である。",三塚博,三塚博氏が国鉄の職場規律や経営問題に切り込みました。
single,"基本答申が出された当時,国鉄自身のスタンスは○○派であった。",現状維持,"当時の国鉄は従来の再建計画の変更を嫌い,現状維持派が主流でした。"
single,"基本答申が出された当時,分割民営化の反対派であった,国鉄を監督する省庁は○○である。",運輸省,運輸省も当初は現状維持・反対派の立場をとっていました。
multiple,"基本答申が出された当時,分割民営化の反対派であった野党は,○○党と○○党である。","社会,共産",野党の社会党と共産党は分割民営化に反対していました。
multiple,"分割民営化を巡り,当時の国鉄内は推進する○○派と反対する○○派に分かれて対立していた。","改革,現状維持","推進する改革派と,反対する現状維持派で内部対立がありました。"
single,"国鉄内で分割民営化を推進したグループの主要人物で,故JR東海名誉会長は○○である。",葛西義之,葛西義之氏が中心となって国鉄内部から改革を推進しました。
single,"国鉄内で分割民営化を推進したグループの主要人物で,元JR西日本会長は○○である。",井手正敬,井手正敬氏が中心となって国鉄内部から改革を推進しました。
single,"国鉄内で分割民営化を推進したグループの主要人物で,故元JR東日本会長は○○である。",松田昌士,松田昌士氏が中心となって国鉄内部から改革を推進しました。
single,"葛西義之,井手正敬,松田昌士の3名は,国鉄内で分割民営化を推進したことから○○と呼ばれていた。",改革3人衆,少数派であった改革3人衆が世論の追い風を受け改革を進めました。
single,"1983年6月に設置された,国鉄の経営形態等について内閣総理大臣に意見を述べる強い権限を持つ委員会は○○である。",国鉄再建監理委員会,"総理府に設置され,分割民営化の具体案を審議決定しました。"
single,"国鉄再建監理委員会は,国家行政組織法に基づく枠組みから別名○○とも呼ばれる。",8条委員会,"8条委員会として設置されましたが,その勧告は強い権限を持っていました。"
single,"1984年10月,信頼を集めていた自民党運輸族の○○氏が分割民営化へ転向したことが,運輸省が方針転換する大きな要因となった。",三塚博,"三塚博氏の転向により,運輸省が分割民営化に同調しました。"
single,1985年6月に国鉄経営陣の刷新という政治的決断を下した当時の首相は○○である。,中曽根,中曽根首相の決断により国鉄経営陣が刷新されました。
single,"1985年6月になされた中曽根首相の政治的決断とは,○○の刷新（更迭）である。",国鉄経営陣,"この決断により,分割民営化への流れが決定的なものとなりました。"
single,"1986年11月に成立した,分割民営化を決定づける法案は○○法案である。",国鉄改革,衆参ダブル選挙での自民党圧勝が追い風となり成立しました。
multiple,"JRが発足したのは,西暦○○年の○○月○○日である。","1987,4,1",1987年4月1日に国鉄が分割民営化されJRが発足しました。
single,"国家行政組織法において,独立性を有し国家意思を表示する権限を持つ委員会を○○という。",3条委員会,国家公安委員会や公正取引委員会などがこれに該当します。
single,"国家行政組織法において,独立性がなく諮問的・調査的な機関であるが,その勧告が強い力を持つ委員会を○○という。",8条委員会,国鉄再建監理委員会は8条委員会として設置されました。
single,"旅客部門の分割を行う理由の1つとして,○○の確立により地域・事業部門相互の依存関係を排除することが挙げられる。",当事者能力,"赤字路線への補填などをなくし,健全な経営を実現するためです。"
single,"旅客部門の分割を行う理由の1つとして,適正な○○規模にすることで意思決定の効率化を図ることが挙げられる。",経営管理,"全国一体の規模では決済が遅くなるため,適正な規模に分割しました。"
single,"旅客部門の分割を行う理由の1つとして,○○に応じた運営により線区ごとの弾力的対応を図ることが挙げられる。",地域性,地域ごとの事情に応じた設備水準やサービスを提供するためです。
single,"旅客部門の分割を行う理由の1つとして,各JRが○○に基づく経営管理・事業運営を行い効率的な運営を図ることが挙げられる。",競争意識,"他社と同規模の会社とし,より良いサービスを提供する意識を持たせました。"
single,"当事者能力の確立のため,地域や事業部門の特性に応じて分割することで,それまでの相互の○○関係を排除することが目指された。",依存,担当地域内で明確なコスト意識と利益目標を持たせました。
single,"適正な経営管理規模の確立のため,分割化することで各地域での○○の効率化が目指された。",意思決定,"意思決定の効率化と,企業への帰属意識の向上を図りました。"
single,"地域性に応じた運営の確立のため,分割化によって地域事情に応じた運営を可能にすることで,線区ごとの○○的対応ができるようにすることが目指された。",弾力,"全国一律ではない,地域ごとの事情に応じた弾力的対応を目指しました。"
single,"他社と同規模の会社とし,より良いサービスを提供しようという○○を持たせて効率的な運営ができるようになることが目指された。",競争意識,全国1社の国鉄時代にはなかった競争原理を働かせるためです。
single,"民営化の理由の1つとして,公共企業体という枠組みから外れて経営の○○を確保し,経営責任を明確化することが挙げられる。",自主性,国会の承認なしに予算や運賃などを設定できる自主性を確保しました。
single,"経営の自主性が確保されることで,○○の明確化につながる。",経営責任,"経営責任が明確になることで,当事者意識が芽生えます。"
single,"民営化の理由の1つとして,労働者の当事者意識を高めることで健全な○○の確立を目指すことが挙げられる。",労使関係,"経営状況に応じて賃金が決定されるなど,労使関係を一体としました。"
single,"民営化の理由の1つとして,鉄道事業を生かした関連事業への参入を可能とする経営○○の自由が挙げられる。",多角化,不動産事業や百貨店事業などの非運輸事業への参入が可能になりました。
single,"旅客部門の分割において,全国一元的組織運営の弊害を除去するため,地域的になるべく○○経営単位に分割することが必要とされた。",小さい,"地域事情に応じた運営をするため,小さい経営単位に分割されました。"
single,"旅客部門の分割において,分割に伴う制度上の問題及び○○の最小化が考慮された。",コスト,分割によるデメリット（コスト等）を最小限に抑える配慮がなされました。
single,"旅客部門の分割において,相当程度の面的広がりを持たせ,安定的な○○の確保が考慮された。",経営基盤,"企業として自立できるよう,安定的な経営基盤の確保が重視されました。"
single,"旅客部門の分割において,○○については利用者間の負担の均衡に配慮して分割された。",新幹線,新幹線は旅客流動のまとまりや負担の均衡を考慮して分割されました。
single,"旅客部門の分割方法の考え方に基づき,全国は○○分割された。",6,旅客部門は全国で6つの会社に分割されました。
single,"分割において,まず○○部門を旅客部門から独立させた。",貨物,流動形態や列車の運行状態が旅客部門と大きく異なるため独立させました。
single,"貨物と旅客が同じ組織にいると経営責任が不明確になるという観点から,○○の運営体制が見直された。",客貨一体,"客貨一体の運営体制から脱却し,貨物部門を独立させました。"
single,"全国一律管理による弊害を解消するため,旅客部門を○○することとした。",地域分割,巨大組織による管理限界を超えた状態を解消するため地域分割されました。
single,"国鉄は極めて多数の職員を抱える巨大組織であり,全国一元的組織で○○に合わせた運営が不可能であった。",地域,"地域に合わせた運営を行うため,地域ごとの会社に分割されました。"
single,"全国一体の収支管理では各地域や事業部門間に依存関係が生じやすく,○○が働かないというデメリットがあった。",競争意識,"依存関係をなくし,競争意識を働かせるための分割です。"
single,"分割において,○○交通については分断することなく一体的に経営するという考えであった。",大都市圏内,大都市圏内交通を一体的に経営することで利用者の利便性を保ちました。
single,"大都市圏内交通を一体的に経営するのは,○○の低下を防止し,分割に伴うコストを抑制するためである。",サービス,分断によるサービス低下を防止する目的がありました。
single,"新幹線に代表される○○については,旅客流動のまとまりに配慮して分割された。",都市間輸送,"都市間輸送をまとめることで,航空機などとの競争に耐えうる体制を目指しました。"
single,"都市間輸送をまとめることで,航空機や高速道路等との競争に耐えうるサービスの○○を目指した。",向上,"航空機や高速道路との競争に勝つため,サービス向上を目指しました。"
single,"旅客部門の分割において,本州は○○つに分割された。",3,"東日本,東海,西日本の3つに分割されました。"
single,"本州を3つに分割することで,旅客の流動が対象範囲内に収まる割合である○○が98%となる。",地域内完結度,"地域内完結度を高く保つことで,利用者の利便性を維持しました。"
single,"本州の分割案において,首都圏と近畿圏の二大都市圏間の流動を担う○○新幹線と中京圏のグループは現在のJR東海である。",東海道,東海道新幹線と中京圏を一体としたのがJR東海です。
single,"本州の分割案において,首都圏交通や東北・上越新幹線等を一体としたグループは現在の○○である。",JR東日本,首都圏交通と東北・甲信越の都市間交通を担うのがJR東日本です。
single,"本州の分割案において,近畿圏交通や山陽新幹線等と北陸地方を一体としたグループは現在の○○である。",JR西日本,近畿圏交通と西日本の都市間交通を担うのがJR西日本です。
multiple,"旅客の流動の地域内完結度が極めて高い「3島」とは,○○,○○,○○である。","北海道,四国,九州","北海道,四国,九州はそれぞれ地域内で流動が完結しやすい特性があります。"
single,"3島会社の安定的な経営基盤の確保のため,別途○○措置を講じることにより担保することとした。",収益調整,"分割民営化当初から赤字が見込まれたため,収益調整措置が講じられました。"
single,"JR東海とJR東日本の在来線の境界駅で,東京方面から伊東方面への列車運行を分断しないように設定されたのは○○駅である。",熱海,"熱海駅は管理局境界であり,列車運行を分断しないよう設定されました。"
single,"JR東海とJR東日本の境界駅で,御殿場線を一体的経営するために設定されたのは○○駅である。",国府津,御殿場線を線区全体で一体的経営するために国府津駅が境界となりました。
single,"JR東海とJR東日本の境界駅で,身延線を一体的経営するために設定されたのは○○駅である。",甲府,身延線を線区全体で一体的経営するために甲府駅が境界となりました。
single,"JR東海とJR東日本の境界駅で,飯田線を一体的経営するために設定されたのは○○駅である。",辰野,飯田線を線区全体で一体的経営するために辰野駅が境界となりました。
single,"JR東海とJR東日本の境界駅で,中央線における新宿・松本方面と大阪・名古屋方面の列車の合流点として設定されたのは○○駅である。",塩尻,塩尻駅は中央線における列車の合流点として境界に設定されました。
single,"JR東海とJR西日本の境界駅で,高山線における旅客の輸送段差を考慮して設定されたのは○○駅である。",猪谷,高山線における旅客の輸送段差や管理局境界を考慮して猪谷駅が境界となりました。
single,"JR東海とJR西日本の境界駅で,近畿圏と中京圏の輸送段差や長距離列車の乗務員乗換を考慮して設定されたのは○○駅である。",米原,近畿圏と中京圏の輸送段差や乗務員乗換を考慮して米原駅が境界となりました。
single,"JR東海とJR西日本の境界駅で,列車の折り返し運転が多く,在来線境界駅で唯一の当社管轄駅は○○駅である。",亀山,"亀山駅は列車の折り返し運転が多く,当社管轄の境界駅となりました。"
single,"JR東海とJR西日本の境界駅で,天王寺からと名古屋からの長距離列車の運行形態を考慮して設定されたのは○○駅である。",新宮,長距離列車の運行形態を考慮して新宮駅が境界となりました。
single,"民営化の経営形態の基本的な考え方は,できる限り民間企業と同様の自由と自主性を確保し,○○制度から脱却することである。",公社,"公社制度から脱却し,企業性を発揮した活力ある経営を可能にするためです。"
single,"鉄道事業は国家の重要政策であり停廃が許されないため,国自らが主導権をもって強制的に設立する○○形態とされた。",特殊会社,"特殊会社として設立され,段階的な民営化が目指されました。"
single,"特殊会社とは,国策上必要な事業で行政よりも○○形態の方が適切な場合に設立される。",株式会社,"将来的な民営化の可能性も視野に入れ,株式会社形態で設立されます。"
single,"本州3社には国鉄時代からの債務が引き継がれたが,3島会社には赤字を補填するための特別な措置として○○が講じられた。",経営安定基金,"営業損益で赤字が見込まれていたため,経営安定基金が設けられました。"
single,"JR発足当初,特殊会社である各社の株式を一括して所有していた組織は○○である。",国鉄清算事業団,当分の間は国鉄清算事業団が株式を全数保有する形態がとられました。
single,"平成18年4月5日に政府保有株式がすべて売却され,JR東海は○○を実現した。",完全民営化,"株式がすべて売却され,名実ともに民間企業となりました。"
single,"完全民営化する以前の特殊会社のJRに対する国の監督規制は,○○とされていた。",必要最小限,"経営の自主性を確保するため,国の規制は必要最小限にとどめられました。"
multiple,"国の監督規制が最小限とされたのは,○○,○○,○○に関する規制を基本的に行わず,事業範囲を広げるためである。","人事,財務,事業運営","人事,財務,事業運営の自由度を高めるための措置です。"
single,"規制を最小限にした目的は,経営について権限と責任を持ち,○○が発揮できる経営体制とすることである。",当事者能力,"当事者能力を発揮し,責任ある経営を行わせることが目的でした。"
single,"特殊会社時代のJRへの規制は「旅客鉄道株式会社及び日本貨物鉄道株式会社に関する法律」,通称○○法で定められていた。",JR会社,JR会社法によって必要最小限の規制が定められていました。
single,JR7社は最終的に全株式を上場して完全な○○になることを目標としている。,民間会社,"政府保有株式を売却し,完全な民間会社となることが最終目標です。"
single,"特殊会社時代のJRにおいて,新株の発行や代表取締役の選定などは○○の許可が必要であった。",運輸大臣,重要な経営判断については運輸大臣の許可が必要とされていました。
single,"運輸大臣の許可が必要な項目として,○○の発行や社債募集等があった。",新株,新株の発行や長期借入金などは許可が必要でした。
single,"運輸大臣の許可が必要な項目として,○○の選定・解職,監査役の選任・解任があった。",代表取締役,代表取締役や監査役の人事については許可が必要でした。
